PostId,PostTypeId,EventId,Event,UserId,CreationDate
50332,1,70423,InitialBody,4398,9/8/2008 18:17
50332,1,70421,InitialTitle,4398,9/8/2008 18:17
52030,2,72892,InitialBody,5410,9/9/2008 14:36
52030,2,851869,Comment,5410,6/24/2009 21:15
52030,2,2165421,BodyEdit,1440933,7/10/2009 15:37
1315206,2,2587596,InitialBody,159770,8/22/2009 5:22
10566072,2,24341291,InitialBody,41693,5/12/2012 17:48
376732,1,609759,InitialBody,11339,12/18/2008 2:31
376732,1,609757,InitialTitle,11339,12/18/2008 2:31
376743,2,609647,InitialBody,35951,12/18/2008 2:37
376732,1,204686,Comment,39413,12/18/2008 2:51
376732,1,609760,BodyEdit,11339,12/18/2008 3:05
460599,2,758130,InitialBody,54949,1/20/2009 9:38
460599,2,282715,Comment,11339,1/21/2009 5:29
671910,2,1160398,InitialBody,81202,3/23/2009 0:35
672049,2,1160645,InitialBody,27536,3/23/2009 2:20
376732,1,629887,Comment,2859,5/4/2009 16:51
376743,2,2649739,BodyEdit,35951,8/28/2009 4:40
376732,1,1663758,Comment,11339,11/22/2009 5:36
1856685,2,3721224,InitialBody,220432,12/6/2009 21:31
672049,2,2049708,Comment,82320,1/21/2010 23:29
4025207,2,8462913,InitialBody,377303,10/26/2010 15:24
4470469,2,9435068,InitialBody,546057,12/17/2010 12:32
4470469,2,9460754,BodyEdit,11339,12/19/2010 8:57
672049,2,6671692,Comment,211827,4/28/2011 6:38
672049,2,6701579,Comment,27536,4/29/2011 19:41
671910,2,6876052,Comment,58791,5/11/2011 8:40
460599,2,8400086,Comment,319241,8/11/2011 18:30
460599,2,15439880,BodyEdit,54949,8/12/2011 9:51
460599,2,8410575,Comment,54949,8/12/2011 9:52
460599,2,16340482,BodyEdit,248188,9/13/2011 16:24
376732,1,8960605,Comment,1,9/14/2011 10:26
10191147,2,23371494,InitialBody,343854,4/17/2012 12:20
460599,2,13107125,Comment,200443,4/18/2012 9:38
4470469,2,13113013,Comment,200443,4/18/2012 13:30
460599,2,14101192,Comment,359650,5/31/2012 10:00
4470469,2,15456855,Comment,5982,7/26/2012 5:32
4470469,2,15457524,Comment,1525358,7/26/2012 6:15
10191147,2,17084974,Comment,864150,9/30/2012 16:38
1856685,2,57586950,BodyEdit,660828,2/9/2014 5:12
4470469,2,39937271,Comment,11339,8/29/2014 16:03
3529744,1,7363373,InitialTitle,265226,8/20/2010 9:44
3529744,1,7363372,InitialBody,265226,8/20/2010 9:44
3529744,1,3693131,Comment,289004,8/20/2010 10:13
3529744,1,3693152,Comment,289004,8/20/2010 10:15
3529744,1,3693528,Comment,340355,8/20/2010 11:03
3529744,1,3693606,Comment,4833,8/20/2010 11:13
3532451,2,7369209,InitialBody,40489,8/20/2010 15:39
3529744,1,7378455,BodyEdit,265226,8/21/2010 6:37
3532451,2,3701692,Comment,265226,8/21/2010 6:44
3529744,1,3701699,Comment,265226,8/21/2010 6:46
3529744,1,3701740,Comment,265226,8/21/2010 6:58
3529744,1,7378616,BodyEdit,265226,8/21/2010 6:59
3529744,1,3701780,Comment,265226,8/21/2010 7:11
3532451,2,3748826,Comment,40489,8/26/2010 12:01
3532451,2,7463235,BodyEdit,40489,8/26/2010 12:02
3532451,2,7504504,BodyEdit,40489,8/29/2010 2:45
7953840,1,17689751,InitialTitle,1018387,10/31/2011 12:41
7953840,1,17689750,InitialBody,1018387,10/31/2011 12:41
7953840,1,17691392,TitleEdit,1018387,10/31/2011 13:43
7953840,1,17691597,TitleEdit,648313,10/31/2011 13:52
7953840,1,17691596,BodyEdit,648313,10/31/2011 13:52
7957863,2,17699347,InitialBody,797390,10/31/2011 18:15
7957863,2,9736956,Comment,1018387,11/1/2011 8:46
7953840,1,17714971,BodyEdit,1018387,11/1/2011 9:06
7957863,2,9739994,Comment,797390,11/1/2011 12:35
7953840,1,17720649,BodyEdit,1018387,11/1/2011 12:48
7953840,1,17720650,TitleEdit,1018387,11/1/2011 12:48
7957863,2,9740474,Comment,1018387,11/1/2011 13:06
7957863,2,9778635,Comment,1018387,11/3/2011 11:20
7957863,2,9788068,Comment,797390,11/3/2011 19:13
