PostId,PostTypeId,EventId,Event,UserId,CreationDate,Rationale (CT),Rationale (SB)
9225307,1,20926398,InitialBody,1041345,2/10/2012 9:11,N/A,N/A
9225307,1,20926399,InitialTitle,1041345,2/10/2012 9:11,N/A,N/A
9225660,2,20927254,InitialBody,644450,2/10/2012 9:39,N/A,N/A
9225660,2,11617149,Comment,1041345,2/10/2012 9:41,thank you note and follow-up question,
9225660,2,11617199,Comment,644450,2/10/2012 9:45,answer to follow-up question,
9225660,2,11617417,Comment,1041345,2/10/2012 9:58,thank you note,
9225660,2,11617427,Comment,1041345,2/10/2012 9:59,conclusion comment by asker,
9225660,2,20929087,BodyEdit,644450,2/10/2012 10:34,made statements in answer more explicit (seems to be -> is),
,,,,,,,
,,,,,,all activity in less than 2 hours,
,,,,,,four comments on answer within minutes,
