PostId,PostTypeId,EventId,Event,UserId,CreationDate,Rationale (CT),Rationale (SB)
11719084,1,27354231,InitialBody,1562529,7/30/2012 9:54,N/A,
11719084,1,27354232,InitialTitle,1562529,7/30/2012 9:54,N/A,
11719084,1,15547519,Comment,440558,7/30/2012 9:59,clarification question,
11719084,1,15547524,Comment,968261,7/30/2012 9:59,possible duplicate,
11719181,2,27354468,InitialBody,131057,7/30/2012 10:00,N/A,
11719181,2,15547587,Comment,1160368,7/30/2012 10:02,clarification question,
11719181,2,15551216,Comment,1562529,7/30/2012 12:43,clarification by asker in comment on answer,
11719181,2,15551253,Comment,1562529,7/30/2012 12:44,clarification question by asker in comment on answer,
11719181,2,15551688,Comment,131057,7/30/2012 13:00,answer to clarification question by answerer,
11719181,2,52522035,Comment,836450,9/1/2015 4:47,pointing out potential bug in answer,
32323838,2,98646911,InitialBody,836450,9/1/2015 4:58,N/A,
32323838,2,98648600,BodyEdit,836450,9/1/2015 5:43,complete change of answer,
11719181,2,52523866,Comment,131057,9/1/2015 6:12,clarifying there's no bug,
,,,,,,,
,,,,,,"2 comments on question right after posting, one comment on answer right after posting",
,,,,,,3 comments on answer very close to each other,
,,,,,,clarification by asker in comment on answer,
